name	rva	size	record
OSD::Draw	0x37b30	539	0x1110
OSD::EnsureResources	0x380f0	3155	0x1110
OSD::Render	0x38d50	588	0x1110
OSD::Reset	0x38fa0	94	0x1110
OSD::UpdateStats	0x39030	2768	0x1110
OSD::UpdateTexture	0x39b00	900	0x1110
ReShadeDepth::FrameGraph::FrameGraph	0x3f440	462	0x1110
`ReShadeDepth::Capture'::`10'::Restore::~Restore	0x400c0	35	0x110f
ReShadeDepth::Capture	0x40f50	3412	0x1110
ReShadeDepth::DeviceIdentity	0x42a70	177	0x1110
ReShadeDepth::DiscardCapture	0x42b30	258	0x1110
ReShadeDepth::FrameGraph::Execute	0x430f0	1842	0x1110
ReShadeDepth::FrameGraph::Find	0x43c40	278	0x1110
ReShadeDepth::FrameGraph::Forget	0x440b0	292	0x1110
ReShadeDepth::Initialize	0x44650	2312	0x1110
ReShadeDepth::IsActive	0x44f60	9	0x1110
ReShadeDepth::PublishPresent	0x45670	430	0x1110
ReShadeDepth::ResetAfterIdle	0x45d60	1164	0x1110
ReShadeDepth::SetOutputWindow	0x46460	112	0x1110
ReShadeDepth::TagFSRFrame	0x464d0	520	0x1110
ReShadeDepth::TagFSRPresent	0x466e0	535	0x1110
`Streamline::UpscaleD3D12'::`2'::<lambda_1>::operator()	0x4a520	139	0x110f
`Streamline::UpscaleD3D12'::`2'::<lambda_3>::operator()	0x4a5b0	2445	0x110f
`Streamline::UpscaleD3D12'::`2'::<lambda_4>::operator()	0x4af40	999	0x110f
Streamline::ApplyNISSharpenD3D12	0x4b330	858	0x1110
Streamline::ApplyPendingDLSSGDisable	0x4b690	397	0x1110
Streamline::BeginRenderFrame	0x4b820	186	0x1110
Streamline::BeginSimulationFrame	0x4b8e0	194	0x1110
Streamline::CheckFeature	0x4b9b0	1120	0x1110
Streamline::CheckFeatures	0x4be10	668	0x1110
Streamline::ClearDLSSGResourceTags	0x4c0b0	884	0x1110
Streamline::DestroyDLSSResources	0x4c590	574	0x1110
Streamline::DisableDLSS	0x4c7d0	604	0x1110
Streamline::EndSimulationFrame	0x4ca30	269	0x1110
Streamline::EnsureD3D12DLSSNROptions	0x4cb40	770	0x1110
Streamline::EnsureD3D12DLSSOptions	0x4ce50	643	0x1110
Streamline::EnsureFrameToken	0x4d0e0	267	0x1110
Streamline::EnsureNISOptions	0x4d1f0	351	0x1110
Streamline::GetD3D12DLSSNRPreparation	0x4d350	469	0x1110
Streamline::GetDLSSGPacingMultiplier	0x4d530	75	0x1110
Streamline::GetFrameTokenForFrame	0x4d580	631	0x1110
Streamline::GetReflexLatencyMs	0x4d800	301	0x1110
Streamline::Initialize	0x4d930	4166	0x1110
Streamline::LoadInterposer	0x4ea50	1999	0x1110
Streamline::NeedsDLSSGPresentSafety	0x4f220	30	0x1110
Streamline::OnDLSSGPresentComplete	0x4f240	34	0x1110
Streamline::OnPCLStatsPing	0x4f270	743	0x1110
Streamline::OnPresentEnd	0x4f560	235	0x1110
Streamline::OnPresentStart	0x4f650	342	0x1110
Streamline::PaceFrame	0x4f7b0	284	0x1110
Streamline::PostDevice	0x4f8d0	1613	0x1110
Streamline::PrepareD3D12DLSSNR	0x4ff20	12	0x1110
Streamline::PrepareDirectDLSSNR	0x4ff30	224	0x1110
Streamline::QueryDLSSGState	0x50010	900	0x1110
Streamline::RequestDLSSGDisable	0x503a0	57	0x1110
Streamline::RequestTemporalReset	0x503e0	19	0x1110
Streamline::ResumeDLSSNR	0x50400	43	0x1110
Streamline::SetPresentFrameIndex	0x50430	62	0x1110
Streamline::SetSwapChain	0x50470	164	0x1110
Streamline::Shutdown	0x50520	686	0x1110
Streamline::SuspendDLSSNR	0x508a0	547	0x1110
Streamline::TagDLSSGResources	0x50ad0	1045	0x1110
Streamline::TagDLSSGResources	0x50ef0	1195	0x1110
